"idsite","idearthquake","idbuilding","psdr","pfa","idresponse"
91,1,9,0.00090846,0.17934,17799
91,1,9,0.00085001,0.1681,17800
91,1,9,0.00078773,0.15206,17801
91,1,9,0.00076809,0.13982,17802
91,1,9,0.00073229,0.14469,17803
91,1,9,0.00068457,0.1484,17804
91,1,9,0.00067073,0.15087,17805
91,1,9,0.00030769,0.15181,17806
92,1,9,0.00049259,0.081114,17807
92,1,9,0.00050886,0.068316,17808
92,1,9,0.00052297,0.057036,17809
92,1,9,0.00053268,0.047052,17810
92,1,9,0.0005371,0.037093,17811
92,1,9,0.00053565,0.030225,17812
92,1,9,0.00052801,0.030493,17813
92,1,9,0.0005141,0.036539,17814
92,1,9,0.00049407,0.041684,17815
92,1,9,0.0004679,0.043536,17816
92,1,9,0.00044913,0.042108,17817
92,1,9,0.00043187,0.04123,17818
92,1,9,0.00041043,0.042592,17819
92,1,9,0.0003912,0.0407,17820
92,1,9,0.00037003,0.042513,17821
92,1,9,0.00034647,0.045654,17822
92,1,9,0.00032046,0.047463,17823
92,1,9,0.00029288,0.048592,17824
92,1,9,0.00026408,0.051705,17825
92,1,9,0.00023374,0.05354,17826
92,1,9,0.00020331,0.05327,17827
92,1,9,0.00017895,0.05085,17828
92,1,9,0.00016754,0.04885,17829
92,1,9,0.00018251,0.052297,17830
92,1,9,0.00020464,0.053325,17831
92,1,9,0.00022483,0.052795,17832
92,1,9,0.00024357,0.050301,17833
92,1,9,0.00026049,0.046127,17834
92,1,9,0.00027645,0.04152,17835
92,1,9,0.00029101,0.037806,17836
92,1,9,0.00030289,0.037563,17837
92,1,9,0.0003143,0.03981,17838
92,1,9,0.00032064,0.044612,17839
92,1,9,0.00032436,0.04804,17840
92,1,9,0.00032315,0.049876,17841
92,1,9,0.00031693,0.050023,17842
92,1,9,0.00030526,0.048465,17843
92,1,9,0.0002881,0.045361,17844
92,1,9,0.00026683,0.041062,17845
92,1,9,0.00024368,0.036881,17846
92,1,9,0.00022318,0.036247,17847
92,1,9,0.00010237,0.034082,17848
93,1,9,0.00049995,0.092388,17849
93,1,9,0.00051231,0.070243,17850
93,1,9,0.0005245,0.048205,17851
93,1,9,0.00053563,0.039031,17852
93,1,9,0.00054508,0.042133,17853
93,1,9,0.00055044,0.048752,17854
93,1,9,0.00055127,0.049848,17855
93,1,9,0.00054759,0.053413,17856
93,1,9,0.00053733,0.054591,17857
93,1,9,0.00052022,0.053156,17858
93,1,9,0.00049647,0.050855,17859
93,1,9,0.00046746,0.048979,17860
93,1,9,0.00043609,0.048163,17861
93,1,9,0.00041469,0.045797,17862
93,1,9,0.00040714,0.052693,17863
93,1,9,0.00040492,0.057124,17864
93,1,9,0.00039956,0.061272,17865
93,1,9,0.00039001,0.060911,17866
93,1,9,0.00037498,0.055529,17867
93,1,9,0.00035337,0.049081,17868
93,1,9,0.00032483,0.047843,17869
93,1,9,0.00028801,0.052002,17870
93,1,9,0.00024668,0.055875,17871
93,1,9,0.00021605,0.058982,17872
93,1,9,0.00020189,0.059027,17873
93,1,9,0.0002029,0.056413,17874
93,1,9,0.00021771,0.058887,17875
93,1,9,0.00022947,0.061631,17876
93,1,9,0.0002378,0.061005,17877
93,1,9,0.00024234,0.058157,17878
93,1,9,0.00024286,0.053468,17879
93,1,9,0.00023923,0.048019,17880
93,1,9,0.00024384,0.04304,17881
93,1,9,0.00025228,0.046467,17882
93,1,9,0.000257,0.051201,17883
93,1,9,0.00025812,0.05572,17884
93,1,9,0.00025426,0.058484,17885
93,1,9,0.00024481,0.059444,17886
93,1,9,0.00022627,0.05742,17887
93,1,9,0.00020186,0.053549,17888
93,1,9,0.00020329,0.054788,17889
93,1,9,0.0000987,0.053523,17890
94,1,9,0.00079308,0.25664,17891
94,1,9,0.00081356,0.18684,17892
94,1,9,0.0008342,0.12758,17893
94,1,9,0.00085173,0.090656,17894
94,1,9,0.00086497,0.073003,17895
94,1,9,0.00087309,0.099473,17896
94,1,9,0.0008756,0.14251,17897
94,1,9,0.00087225,0.18464,17898
