"idsite","idearthquake","idbuilding","sdr","pfa","idresponse"
3,1,2,0.00094211,0.044854,7307
3,1,2,0.00056822,0.054216,7308
4,1,2,0.0022323,0.071248,7309
4,1,2,0.0023891,0.096363,7310
4,1,2,0.0017717,0.096471,7311
4,1,2,0.0011629,0.11691,7312
5,1,2,0.00067889,0.029807,7313
5,1,2,0.00072002,0.024433,7314
5,1,2,0.00055501,0.027174,7315
5,1,2,0.00036947,0.041837,7316
6,1,2,0.0019773,0.070325,7317
6,1,2,0.0021541,0.083436,7318
6,1,2,0.0017114,0.090835,7319
6,1,2,0.0010325,0.10733,7320
7,1,2,0.0014947,0.052289,7321
7,1,2,0.0014929,0.076005,7322
7,1,2,0.0012389,0.063972,7323
7,1,2,0.00089597,0.10164,7324
8,1,2,0.003882,0.22855,7325
8,1,2,0.0037515,0.25247,7326
8,1,2,0.0032594,0.16042,7327
8,1,2,0.0022558,0.26561,7328
9,1,2,0.00072658,0.043281,7329
9,1,2,0.00075201,0.053275,7330
9,1,2,0.00073504,0.045097,7331
9,1,2,0.00054369,0.067327,7332
10,1,2,0.0020958,0.05834,7333
10,1,2,0.0022753,0.066912,7334
10,1,2,0.0017993,0.082734,7335
10,1,2,0.0011049,0.10562,7336
11,1,2,0.0037877,0.27339,7337
11,1,2,0.0036846,0.30179,7338
11,1,2,0.0037467,0.15732,7339
11,1,2,0.003031,0.35927,7340
12,1,2,0.014235,0.30227,7341
12,1,2,0.015039,0.2078,7342
12,1,2,0.0087022,0.25877,7343
12,1,2,0.0027762,0.2687,7344
13,1,2,0.00125,0.10796,7345
13,1,2,0.0015957,0.087949,7346
13,1,2,0.0013906,0.12803,7347
13,1,2,0.0010572,0.1266,7348
14,1,2,0.0011506,0.082696,7349
14,1,2,0.0014488,0.088585,7350
14,1,2,0.0014078,0.054512,7351
14,1,2,0.00099005,0.11564,7352
15,1,2,0.0013473,0.066585,7353
15,1,2,0.0014689,0.065799,7354
15,1,2,0.0011829,0.056452,7355
15,1,2,0.00074379,0.082962,7356
16,1,2,0.0012606,0.098637,7357
16,1,2,0.0013047,0.09418,7358
16,1,2,0.0010961,0.073418,7359
16,1,2,0.00094233,0.11698,7360
17,1,2,0.0018171,0.05764,7361
17,1,2,0.0019519,0.066825,7362
17,1,2,0.0016472,0.07093,7363
17,1,2,0.001105,0.11006,7364
18,1,2,0.0063518,0.2467,7365
18,1,2,0.006703,0.30247,7366
18,1,2,0.0051426,0.23966,7367
18,1,2,0.0034097,0.34983,7368
19,1,2,0.0062257,0.22493,7369
19,1,2,0.0077544,0.23412,7370
19,1,2,0.0059876,0.27144,7371
19,1,2,0.0036685,0.42596,7372
20,1,2,0.00076955,0.046004,7373
20,1,2,0.00084419,0.035793,7374
20,1,2,0.00067836,0.030988,7375
20,1,2,0.00040762,0.041916,7376
21,1,2,0.0020935,0.053935,7377
21,1,2,0.002163,0.078708,7378
21,1,2,0.0016078,0.082139,7379
21,1,2,0.00097579,0.092869,7380
22,1,2,0.0085289,0.24229,7381
22,1,2,0.010626,0.29927,7382
22,1,2,0.0081735,0.27718,7383
22,1,2,0.0029887,0.31501,7384
23,1,2,0.0018246,0.059133,7385
23,1,2,0.001834,0.067023,7386
23,1,2,0.00134,0.066907,7387
23,1,2,0.00082492,0.085251,7388
24,1,2,0.0013291,0.073169,7389
24,1,2,0.0014108,0.066155,7390
24,1,2,0.0011002,0.052234,7391
24,1,2,0.0006972,0.080503,7392
25,1,2,0.0012506,0.0553,7393
25,1,2,0.0013128,0.047347,7394
25,1,2,0.0010602,0.049177,7395
25,1,2,0.00063807,0.060138,7396
26,1,2,0.0013933,0.09416,7397
26,1,2,0.0013984,0.087073,7398
26,1,2,0.0011141,0.059579,7399
26,1,2,0.00087169,0.11468,7400
27,1,2,0.0025802,0.13487,7401
27,1,2,0.0027976,0.13086,7402
27,1,2,0.0022132,0.1037,7403
27,1,2,0.0013728,0.14134,7404
28,1,2,0.000313,0.01647,7405
28,1,2,0.0003307,0.014766,7406
28,1,2,0.00026579,0.017326,7407
28,1,2,0.00017517,0.020714,7408
29,1,2,0.0015105,0.083283,7409
29,1,2,0.0014683,0.098729,7410
29,1,2,0.0013474,0.058353,7411
29,1,2,0.00091913,0.09845,7412
30,1,2,0.0018124,0.10239,7413
30,1,2,0.0017292,0.11617,7414
30,1,2,0.0016864,0.070888,7415
30,1,2,0.0013485,0.15552,7416
31,1,2,0.00090792,0.088404,7417
31,1,2,0.00085271,0.090434,7418
31,1,2,0.00091206,0.034968,7419
31,1,2,0.0007527,0.098732,7420
32,1,2,0.0010433,0.06928,7421
32,1,2,0.0011377,0.070932,7422
32,1,2,0.0010876,0.045295,7423
32,1,2,0.00080823,0.09487,7424
33,1,2,0.00077541,0.075262,7425
33,1,2,0.0007277,0.08491,7426
33,1,2,0.00076916,0.061837,7427
33,1,2,0.00067371,0.083467,7428
34,1,2,0.00084149,0.049291,7429
34,1,2,0.00092692,0.050073,7430
34,1,2,0.00078059,0.034876,7431
34,1,2,0.00052388,0.058004,7432
35,1,2,0.00057263,0.031646,7433
35,1,2,0.0006173,0.033342,7434
35,1,2,0.00052975,0.023946,7435
35,1,2,0.00035494,0.038745,7436
36,1,2,0.00048822,0.026814,7437
36,1,2,0.00055756,0.029252,7438
36,1,2,0.00055726,0.023005,7439
36,1,2,0.00042707,0.046487,7440
37,1,2,0.0060015,0.13377,7441
37,1,2,0.006978,0.17345,7442
37,1,2,0.0051601,0.23753,7443
37,1,2,0.0028728,0.28493,7444
38,1,2,0.00089618,0.041947,7445
38,1,2,0.00096513,0.038947,7446
38,1,2,0.00077589,0.036679,7447
38,1,2,0.00058126,0.067595,7448
39,1,2,0.00062054,0.039816,7449
39,1,2,0.00064126,0.044747,7450
39,1,2,0.00053171,0.023421,7451
39,1,2,0.00044517,0.051028,7452
40,1,2,0.0011918,0.055107,7453
40,1,2,0.0011604,0.055228,7454
40,1,2,0.0011215,0.053283,7455
40,1,2,0.00075125,0.078348,7456
41,1,2,0.026532,0.30777,7457
41,1,2,0.026237,0.23961,7458
41,1,2,0.012071,0.29045,7459
41,1,2,0.0036568,0.37279,7460
42,1,2,0.017536,0.46987,7461
42,1,2,0.019223,0.42185,7462
42,1,2,0.011528,0.30689,7463
42,1,2,0.0040042,0.50784,7464
43,1,2,0.0013078,0.075978,7465
43,1,2,0.0013619,0.073963,7466
43,1,2,0.0013161,0.06216,7467
43,1,2,0.00092292,0.10723,7468
44,1,2,0.0021637,0.09649,7469
44,1,2,0.0021996,0.1053,7470
44,1,2,0.0016138,0.11547,7471
44,1,2,0.0010524,0.11509,7472
45,1,2,0.0024714,0.10407,7473
45,1,2,0.003011,0.094041,7474
45,1,2,0.0027465,0.1239,7475
45,1,2,0.0019053,0.19836,7476
46,1,2,0.0044614,0.15565,7477
46,1,2,0.004605,0.18688,7478
46,1,2,0.003529,0.20838,7479
46,1,2,0.0023139,0.23835,7480
47,1,2,0.0052793,0.13349,7481
47,1,2,0.0058798,0.16125,7482
47,1,2,0.0041546,0.19881,7483
47,1,2,0.0025771,0.25123,7484
48,1,2,0.0047648,0.12021,7485
48,1,2,0.0051074,0.17221,7486
48,1,2,0.004043,0.18892,7487
48,1,2,0.0024035,0.22215,7488
49,1,2,0.0026211,0.23972,7489
49,1,2,0.0019042,0.279,7490
49,1,2,0.0024083,0.13074,7491
49,1,2,0.0021809,0.2718,7492
50,1,2,0.0017799,0.060486,7493
50,1,2,0.0018937,0.07715,7494
50,1,2,0.0014779,0.084498,7495
50,1,2,0.00092813,0.091165,7496
51,1,2,0.0020998,0.076742,7497
51,1,2,0.0023413,0.095505,7498
51,1,2,0.0018314,0.095745,7499
51,1,2,0.0010709,0.11022,7500
52,1,2,0.0028655,0.11466,7501
52,1,2,0.0030003,0.11155,7502
52,1,2,0.0022917,0.1291,7503
52,1,2,0.0014499,0.16875,7504
53,1,2,0.0049849,0.18776,7505
53,1,2,0.0057988,0.19287,7506
53,1,2,0.0043626,0.26772,7507
53,1,2,0.0026454,0.29989,7508
54,1,2,0.0047019,0.11348,7509
54,1,2,0.0050566,0.16786,7510
54,1,2,0.0039785,0.1955,7511
54,1,2,0.0025819,0.26016,7512
55,1,2,0.00098203,0.10611,7513
55,1,2,0.001132,0.0784,7514
55,1,2,0.0010331,0.071273,7515
55,1,2,0.00079225,0.10563,7516
56,1,2,0.0041112,0.24665,7517
56,1,2,0.0037893,0.30872,7518
56,1,2,0.0036309,0.17789,7519
56,1,2,0.0028405,0.33452,7520
57,1,2,0.0028452,0.21319,7521
57,1,2,0.0025873,0.20178,7522
57,1,2,0.0030228,0.15349,7523
57,1,2,0.0022631,0.26998,7524
58,1,2,0.0020576,0.064041,7525
58,1,2,0.0022165,0.087393,7526
58,1,2,0.0018315,0.08505,7527
58,1,2,0.001256,0.12998,7528
59,1,2,0.0024599,0.10547,7529
59,1,2,0.0026296,0.10807,7530
59,1,2,0.0021405,0.10231,7531
59,1,2,0.0014821,0.1561,7532
60,1,2,0.0010778,0.048665,7533
60,1,2,0.0010963,0.04796,7534
60,1,2,0.00081508,0.038799,7535
60,1,2,0.00049344,0.057827,7536
61,1,2,0.0051015,0.29033,7537
61,1,2,0.0056263,0.31686,7538
61,1,2,0.0048296,0.26898,7539
61,1,2,0.0037346,0.37834,7540
62,1,2,0.0055373,0.37531,7541
62,1,2,0.0068298,0.39175,7542
62,1,2,0.005548,0.24115,7543
62,1,2,0.0048048,0.55268,7544
63,1,2,0.002878,0.067392,7545
63,1,2,0.0031236,0.12519,7546
63,1,2,0.0023348,0.13346,7547
63,1,2,0.0015054,0.14894,7548
64,1,2,0.0038297,0.17819,7549
64,1,2,0.0039838,0.17073,7550
64,1,2,0.0033255,0.15296,7551
